Form,Line,Year
1040,1z,Total W2
1040,2b,Taxable interest
1040,3a,Qualified dividends
1040,3b,Ordinary dividends
1040,7,Capital gain
1040,8,Additional income
1040,9,Total income
1040,10,Adjustments to income
1040,11,Adjusted gross income
1040,12,Deduction
1040,13,Business deduction
1040,15,Taxable income
1040,16,Tax
1040,23,Other taxes
1040,24,Total tax
1040,33,Total tax paid
2,11,Additional Medicare Tax
2,12,Net investment income tax
2,21,Total other taxes
A,7,Tax deduction
A,8a,Home mortgage interest
A,10,Interest deduction
A,14,Donations
A,17,Total itemized deductions
D,1a,Short term gain
D,1b,Short term gain wash sale
D,2,Short term gain no cost basis
D,6,Short term carryover
D,7,Net short term gain
D,8a,Long term gain
D,8b,Long term gain wash sale
D,9,Long term gain no cost basis
D,14,Long term carryover
D,15,Net long term gain
D,16,Capital gain
D,21,Capital loss limit
2441,2d,Qualified expenses
2441,12,Dependent care benefits
2441,3,Credit
8959,18,Additional medicare tax
8959,24,Additional medicare tax withholding
8960,8,Total investment income
8960,11,Total investment expenses
540,11,Total exemption
540,14,CA substractions
540,16,CA additions
540,17,CA gross income
540,18,CA deductions
540,19,CA taxable income
540,64,CA total tax
540,78,CA total payments
